phone,cemetery,emergency,opening_hours,website,pets_allowed,geometry,historic,wiki_summary_en,postal_code,toilets,natural,description,visiting_time,leisure,tourism,public_transport,brand,alt_name,amenity,reservation,attraction,highchair,parking,swimming_pool,contact_phone,community_centre,addr_street,contact_twitter,social_facility,contact_facebook,zoo,email,wheelchair,cuisine,contact_website,internet_access,opening_hours_reception,guest_house,addr_city,contact_instagram,image,location,outdoor_seating,museum,takeaway,smoking,name,id
,,,,,,POINT (19.9420508 50.0662689),memorial,"The Tomb of the Unknown Soldier – a cenotaph commemorating the fallen unknown Polish soldiers on the battlefields, located in Kraków in Matejko Square in front of the Grunwald Monument. On a marble pedestal, there is a bronze lantern that is lit during the ceremonies.",,,no information,,,no information,no information,,,,no information,,,,,,,,,,,,,,,,,,,,,,,,,,,,Grób Nieznanego Żołnierza;Ismeretlen katona sírja;Wiktor Zin,2387
,,,,,,POINT (19.9362784 50.0658107),memorial,"The Lilla Weneda Monument in Krakow – a monument designed by Alfred Daun, depicting the figure of Lilla Weneda, located in the northwestern part of the Planty in Krakow, in District I Old Town.",,,no information,,,no information,no information,,,,no information,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lilla Weneda;Lilla-Weneda-Denkmal;Alfred Daun,2388
,,,,,,POINT (19.8471666 50.06005),monument,"Piłsudski's Mound (Polish: kopiec Piłsudskiego; also known as Independence Mound or Freedom Mound) is located in Kraków, Poland, and was established by the Polish nation in honor of Józef Piłsudski. An artificial mound, it was constructed between the years 1934 and 1937. It is located in the western part of Kraków, on the Sowiniec Heights, Kraków's VII District ""Zwierzyniec"". It is the newest and largest of Kraków's four mounds.[a]",,,peak,The highest point in Kraków,,no information,viewpoint,,,,no information,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kopiec Piłsudskiego;Piłsudski's Mound;Piłsudski-Hügel,2393
,,,,,,POINT (19.9335881 50.0530165),no information,"Wawel Dragon Statue (Polish: Pomnik Smoka Wawelskiego) is a monument at the foot of the Wawel Hill in Kraków, Poland, in front of the Wawel Dragon's den, dedicated to the mythical Wawel Dragon. Installed in 1972, the statue is capable of letting out fire from its mouth on demand. Usually it does so every 15 minutes.",,,no information,,,no information,artwork,,,,no information,,,,,,,,,,,,,,,,,,,,,,https://bronislawchromy.pl/wp-content/gallery/pomniki/001-kopia.jpg,,,,,,Smok Wawelski;Wawel Dragon;WAWEL DRAGON;Wawel-Drachen;Вавельский дракон;Wawel sárkánya;Вавельскі цмок;Bronisław Chromy;ヴァヴェルの竜;Vavelio drakonas,2397
,,,,,,POINT (19.9348964 50.0512801),memorial,"Dżok (""Jock"") was a black mongrel dog who was seen waiting in vain for the entire year (1990–1991) at the Rondo Grunwaldzkie roundabout in Kraków, Poland, to be fetched back by his master, who had died there. A monument to Dżok is located on the Czerwieński Boulevard on the Vistula River in Kraków, near the Wawel Castle and the Grunwald Bridge.",,,no information,,,no information,no information,,,,no information,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,Pies Dżok;Bronisław Chromy,2400
,,,,,,POINT (19.958435 50.0380822),archaeological_site,"Krakus Mound or Kopiec Krakusa in Polish, also called the Krak Mound, is a tumulus located in the Podgórze district of Kraków, Poland; it is thought to be the resting place of Kraków's mythical founder, the legendary king Krakus. It is located on Lasota Hill, approximately 3 kilometres (2 mi) south of Kraków's city centre, at an altitude of 271 metres (889 ft), with a base diameter of 60 m (197 ft) and a height of 16 m (52 ft). Together with nearby Wanda Mound, it is one of Kraków's two prehistoric mounds as well as the oldest man-made structure in Kraków. Nearby are two modern, man-made mounds, Kościuszko Mound, constructed in 1823, and Piłsudski's Mound, completed in 1937. These four make up Kraków's four memorial mounds.",,,peak,"stanowisko archeologiczne obiekt kultowy i pochówek, wczesne średniowiecze, materiał z nasypu kultura łużycka, lateńska, przeworska",,no information,viewpoint,,,,no information,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kopiec Krakusa;Krakus Mound,2404
,,,,,,POINT (19.9276006 50.060019),memorial,"The monument of Marshal Józef Piłsudski, located at the intersection of Piłsudski, Wenecja, and Garncarska streets in Kraków, is the work of Czesław Dźwigaj. The monument was unveiled on November 10, 2008.",,,no information,,,no information,no information,,,,no information,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pomnik Marszałka Józefa Piłsudskiego i Legionistów;Józef Piłsudski;маршал Юзэф Пілсудскі;Czesław Dźwigaj,2406
+48 12 421 92 79,,,We-Sa 09:30-15:00; Tu 12:00-18:30,http://muzeum.farmacja.uj.edu.pl,,POINT (19.9403302 50.0632264),no information,"Muzeum Farmacji Collegium Medicum Uniwersytetu Jagiellońskiego (Pharmacy Museum, Jagiellonian University Medical College) is a museum on Floriańska Street, Kraków, Poland, specializing in the history of pharmacy and pharmaceutical technology. It was established in 1946.
The museum was founded by Stanisław Proń, legal counsel and administrative director of the Regional Chamber of Pharmacists in Kraków. Until the late 1980s, the museum was housed in the building at 3 ul. Basztowa. It was then transferred to the newly renovated building at ul. St. Florian's, where it remains today. 
It is the largest and oldest Museum of Pharmacy in Poland, and one of the largest museums of its kind in the world.
The museum occupies all five floors of the building, including the basement and the attic, in a manner appropriate to the historical use of such premises in as an apothecary. On the first floor is a room dedicated to Ignacy Łukasiewicz, a pharmacist, pioneer in the field of crude oil, and the inventor of the modern kerosene lamp. The room on the second floor of the exhibition is devoted to Tadeusz Pankiewicz, a Roman Catholic who ran the ""Under the Eagle"" pharmacy in the Kraków Ghetto during the Nazi occupation of Poland. Among the various exhibits of pharmaceutical technology are weights of less than one gram as patented by Marian Zahradnik, the shape of which indicates their importance. Such weights were adopted in the countries of the Austro-Hungarian Empire and later across Europe, and are still used with minor modifications. Another interesting invention is an electrical device to sterilize prescriptions. It was to protect the pharmacist from infection by germs transferred on the prescription.


== References ==",,,no information,,,no information,museum,,,,no information,,,,,,,,Floriańska,,,,,mf1@mp.pl,,,,,,,Kraków,,,,,,,,Muzeum Farmacji UJ;Museum of Pharmacy;Музей фармацевтики;Patikamúzeum,2408
,,,Mo-Fr 10:00-17:00,https://maius.uj.edu.pl/,,POINT (19.9337367 50.0615617),no information,"The Jagiellonian University Museum – a museum located in the Collegium Maius building of the Jagiellonian University, at the corner of St. Anna and Jagiellońska streets in Kraków. It originates from the Archaeological Cabinet of the University, established in 1867 by Professor Józef Łepkowski, and its current form is primarily due to Karol Estreicher.",,,no information,,,no information,museum,,,,no information,,,,,,,,,,,,,,,,,,,,,,,,,,,,Muzeum Uniwersytetu Jagiellońskiego;University Museum;Museum des Jagiellonen-Universitäts;Jagelló Egyetem Múzeuma,2409
,,,"Tu-Fr 09:00-15:00; Sa, Su 10:00-18:00",http://www.isez.pan.krakow.pl/muzeum.html,,POINT (19.9415137 50.0554747),no information,"The Natural History Museum in Krakow (full official name: Muzeum Przyrodnicze Instytutu Systematyki i Ewolucji Zwierząt PAN) – a museum located in Krakow at 9 St. Sebastian Street. Here you can find a preserved, perfectly preserved, prehistoric woolly rhinoceros, the only fully preserved specimen of this animal that went extinct over 12,000 years ago. Since October 2012, it has resumed its activities.",,,no information,,,no information,museum,,,,no information,,,,,,,,Świętego Sebastiana,,,,,,,,,,,,Kraków,,,,,nature,,,Muzeum Przyrodnicze PAN;Lengyel Tudományos Akadémia Természettudományi Múzeuma,2413
+48 12 421 68 42,,,Mo-Su 10:00-18:00,https://galiciajewishmuseum.org/,,POINT (19.9496775 50.0508571),no information,"The Galicia Jewish Museum (Polish: Żydowskie Muzeum Galicja) is located in the historic Jewish district of Kazimierz in Kraków, Poland. It is a photo exhibition documenting the remnants of Jewish culture and life in Polish Galicia, which used to be very vibrant in this area.",,,no information,,,no information,museum,,,,no information,,,,,,,,Dajwór,,,,,,,,,,,,Kraków,,,,,,,,Żydowskie Muzeum Galicja;Galicia Jewish Museum;Galíciai Zsidó Múzeum;מוזיאון יהודי;http://www.galiciajewishmuseum.org/en,2415
,,,Tu-Su 10:00-19:00,https://etnomuzeum.eu/,,POINT (19.9434852 50.0486624),no information,"The Seweryn Udziela Ethnographic Museum of Kraków is a museum in Kazimierz, Kraków, Poland. It was established in 1902.",,,no information,,,no information,museum,,,,no information,,,,,,,,Plac Wolnica,,,,,,,,,,,,,,,,,,,,Muzeum Etnograficzne;Néprajzi Múzeum,2416
,,,Tu-Su 11:00-19:00,https://bunkier.art.pl/,,POINT (19.9344469 50.0635805),no information,"Gallery of Contemporary Art ""Bunkier Sztuki"" – an art gallery in Kraków located at plac Szczepański 3a, in the Old Town by the Planty park. Established in 1965, it is considered one of the most important Polish institutions presenting contemporary art. It is an artistically independent cultural institution, funded by the City of Kraków.",,,no information,,,no information,museum,,,,no information,,,,,,,,Plac Szczepański,,,,,,,,,,,,Kraków,,,,,,,,Bunkier Sztuki;Művészetek Bunkere,2417
,,,,,,POINT (20.0364942 50.0815422),no information,"Museum of the Armed Act (Polish: Muzeum Czynu Zbrojnego) is a museum in Kraków, Poland. It was established in 1963 and by 1970 had 3000 artifacts.",,,no information,,,no information,museum,,,,no information,,,,,,,,,,,,,,,,,,,,Kraków,,,,,,,,Muzeum Czynu Zbrojnego;Museum of Armed Deed;Hadtörténetni Múzeum,2420
,,,,,,POINT (20.0370677 50.0712136),monument,"The Solidarity Monument ""Be Faithful, Go"" – a monument in Kraków, in the center of Nowa Huta, on the southern side of Central Square. The monument was erected in 1999 in front of the rolling mill ""Zgniatacz"" of the Tadeusz Sendzimir Steelworks, the department where the strongest organization of the NSZZ Solidarity was formed at the complex, where in 1988 the strike committee was based, and later a Memory Chamber dedicated to metallurgical ""Solidarity"" was located.

In 2005, after the privatization of HTS, due to plans to demolish the Zgniatacz, it was moved to Central Square where it was ceremoniously unveiled again. The monument was unveiled by Kazimierz Fugiel, one of the leaders of the first strikes at the steelworks, Władysław Kielian, the chairman of the Steelworkers' Workers' Commission, and Zdzisław Siudak, an employee of the Zgniatacz. The monument was consecrated by the Metropolitan Archbishop of Gdańsk, Tadeusz Gocłowski, and the Metropolitan Archbishop of Kraków, Stanisław Dziwisz.

The monument takes the form of a steel letter V, mounted on a pedestal (originally made of bricks). This letter is the so-called ""bunny,"" two fingers of the hand arranged in the shape of the letter V symbolizing victory, a gesture by Winston Churchill, the Prime Minister of Great Britain during World War II. Eleven plaques with important dates in the history of Nowa Huta are placed on it, starting from 1960 and the defense of the cross, the date of the election of Karol Wojtyła, and the dates of his visits to Nowa Huta, the date of the establishment of Solidarity, and others. At the base, there is a crowned eagle. Below, on the pedestal, there are four plaques commemorating: the defense of the Nowa Huta cross, the election of Karol Wojtyła as pope, the December events in Gdańsk in 1970, and the establishment of Solidarity in 1980, as well as a fourth commemorating the establishment of NSZZ Solidarity in Nowa Huta. Below the plaques, there is the inscription SOLIDARNOŚĆ written in ""solidaryca."" At the base of the monument, there is a plaque informing that it is dedicated to ""the memory of the participants of the first solidarity movements and all those unnamed who were the first to stand up in the post-war period in defense of faith, workers' rights, and human dignity.""

The text on the plaque reads:
The monument is dedicated to the memory of the participants of the first solidarity movements and all those unnamed who were the first to stand up in the post-war period in defense of faith, workers' rights, and human dignity. Its shape refers to the letter V - a symbol of victory. The dates placed on the monument commemorate pivotal events for Nowa Huta's Solidarity, such as: the fight for the cross/1960/ the election of Karol Wojtyła as pope /1978/ and his first pilgrimages to the homeland, including those during which he visited Nowa Huta /1978/1983/ the workers' strikes /1980/1981/1988/ and the reactivation of Solidarity /1989/.

The monument was built by the Workers' Commission of Steelworkers of the NSZZ Solidarity of the Sendzimir Steelworks at the initiative of Solidarity members from the Rolling Mill Zgniatacz with funds donated by sponsors and collected in a public fundraiser. It was unveiled on November 10, 1999, on the eve of the anniversary of regaining independence. Originally, it stood on the grounds of the Nowa Huta Combined Plant, where in 1980 and 1988, workers' strikes broke out as part of a nationwide protest against the communist authorities and the ideology foreign to the Poles. Glory to the people who, through sacrifice and perseverance, changed the face of Poland and Europe. Be faithful. Go. The poem, of which a fragment is placed on a plaque on the side of the monument, is the message of Mr. Cogito, a character from a series of poems by Zbigniew Herbert.",,,no information,,,no information,no information,,,,no information,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pomnik Solidarności,2421
,,,,,,POINT (20.0353137 50.0792145),monument,"The Nowa Huta Cross Monument is located in Kraków, in District XVIII Nowa Huta, in the Teatralne housing estate, in front of the Church of the Most Sacred Heart of Jesus. The monument was erected at the site where the Nowa Huta Cross once stood and fifty years after its erection. The first new church in Nowa Huta was supposed to be built at this location, but the authorities at that time revoked the permission for its construction and decided to build a ""thousand-year"" school (today known as Primary School No. 87 in the Sports General Education Schools Complex No. 2). The residents of Nowa Huta stood up in defense of the cross, leading to clashes with the militia on April 27, 1960, and several subsequent days. The cross has remained to this day, a school was built, and the church was established almost forty years later. The monument was unveiled and consecrated by Cardinal Stanisław Dziwisz on November 10, 2007. It is a design by Prof. Stefan Dousa, and the surroundings were designed by Dr. Arch. Krzysztof Ingarden. It is made of bronze, has a height of 4.85 m, and was cast at the Nowa Huta company ""Metalodlew."" The Nowa Huta Cross itself was relocated and now stands against the northern wall of the church.",,,no information,,,no information,no information,,,,no information,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pomnik Krzyża Nowohuckiego,2423
+48 12 656 56 25,,,We-Su 10:00-17:00,https://muzeumkrakowa.pl/oddzialy/apteka-pod-orlem,,POINT (19.9541481 50.0462364),no information,"The Eagle Pharmacy Museum (Polish: Apteka Pod Orłem) is a branch of the Historical Museum of Kraków located in the Podgórze district of Kraków, Poland. Originally established as a private pharmacy in 1910, during World War II it operated within the Kraków Ghetto. Its owner, Tadeusz Pankiewicz, was the only non-Jewish Pole permitted to remain and operate a business inside the ghetto. The pharmacy served as a vital hub for clandestine aid, communication, and resistance, providing shelter, medical supplies, and moral support to the persecuted Jewish community. 
After the war, the site was gradually transformed into a commemorative museum. The permanent exhibition opened in 2003 following contributions from Holocaust survivor and filmmaker Roman Polanski.",,,no information,,,no information,museum,,,,no information,,,,,,,,Plac Bohaterów Getta,,,,,,limited,,,,,,Kraków,,,,,history,,,Apteka Pod Orłem;Eagle Pharmacy;Patika a Sas Alatt,2424
,,,,,,POINT (19.9527039 50.0420133),memorial,"The Edward Dembowski Monument is located in Krakow, on Lasota Square, in the XIII Podgórze district.

The monument was unveiled in 1966 and was created according to a design by Józef Potępa from bronze in the form of a bust with the inscribed text: It commemorates Edward Dembowski, a Polish philosopher, publicist, literary critic, and independence activist, who died leading a patriotic procession through Podgórze.",,,no information,,,no information,no information,,,,no information,,,,,,,,,,,,,,,,,,,,,,File:Edward Dembowski Monument in Kraków 2014 bk1.jpg,,,,,,Edward Dembowski,2426
,,,"Mo-Su 10:00-20:00; Tu 10:00-16:00; Nov-Mar: Mo,We,Th 10:00-19:00; Nov-Mar: Tu 10:00-14:00; Nov-Mar: Fr-Su 10:00-20:00",https://muzeumkrakowa.pl/oddzialy/rynek-podziemny,,POINT (19.9377745 50.061996),no information,"The Rynek Underground museum of Kraków is situated below the market square of the city. The museum is approximately 4000 square meters in size.
Work on the museum first began in 2009 with a budget of 38 million złotys, equal to approximately 9.3 million United States dollars (2023). The museum was opened on September 24, 2010. The main exhibit ""In the Footsteps of Krakow's European Identity"" was launched three days after the museum's opening, on September 27, 2010.",,,no information,,,no information,museum,,,,no information,,,,,,,,Rynek Główny,,,,,,limited,,,,,,Kraków,,,,,history,,,Rynek Podziemny;Rynek Underground;Подземелье рынка;Föld alatti Piac tér,2430
,,,,,,POINT (20.0258653 50.0798019),monument,"A monument commemorating the heroes of the Battle of Monte Cassino – a monument located in Krakow, in the XVI Bieńczyce District, at the Niepodległości housing estate on the II Corps of Armed Forces in the West square next to the Kocmyrzowskie Roundabout named after Father Józef Gorzelany. The monument, in the form of a commemorative stone with a plaque, honors the memory of the soldiers of the Polish II Corps, victors of the Battle of Monte Cassino, as well as their commander, General Władysław Anders. The monument was unveiled in May 2004, on the 60th anniversary of the battle. The inscription on the plaque reads:",,,no information,,,no information,no information,,,,no information,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pomnik Generała Andersa i Żołnierzy II Korpusu Polskiego,2431
