phone,cemetery,emergency,opening_hours,website,pets_allowed,geometry,historic,wiki_summary_en,postal_code,toilets,natural,description,visiting_time,leisure,tourism,public_transport,brand,alt_name,amenity,reservation,attraction,highchair,parking,swimming_pool,contact:phone,community_centre,addr:street,contact:twitter,social_facility,contact:facebook,zoo,email,wheelchair,cuisine,contact:website,internet_access,opening_hours:reception,guest_house,addr:city,contact:instagram,image,location,outdoor_seating,museum,takeaway,smoking,all_names_concat
+48 (12) 431 24 33,,,Mo-Su 12:00-24:00,http://www.morskieoko.krakow.pl,,POINT (19.9363771 50.0637051),,,,,,,,,,,,,restaurant,,,,,,,,Plac Szczepański,,,,,,,regional,,,,,,,,,,,,,Morskie Oko
,,,,,,POINT (19.9362856 50.0640328),,,,,,,,,,,,,restaurant,,,,,,,,Plac Szczepański,,,,,,,local,,,,,Kraków,,,,,,,,Kluska na Placu
,,,"Mo-Fr 00:00-01:00,16:00-24:00; Sa,Su 00:00-02:00,12:00-24:00",https://www.facebook.com/bubbletoast/,,POINT (19.9357634 50.0641913),,,,,,,,,,,,,bar,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bubble Toast
,,,"Mo-Fr 08:00-24:00; Sa,Su 00:00-01:00,08:00-24:00",https://scandale.pl,,POINT (19.9351467 50.0634133),,,,,,,,,,,,,bar,,,,,,,,Plac Szczepański,,,,,,,,,,,,,,,,,,,,Scandale Royal
,,,Mo-Su 09:00-23:00,,,POINT (19.936159 50.0631803),,,,,,,,,,,,,restaurant,,,,,,,,Szczepańska,,,,,,,,,,,,Kraków,,,,,,,,Trzy rybki
,,,,,,POINT (19.9364598 50.0628616),,,,,,,,,,,,,cafe,,,,,,,,,,,,,,,,,,,,,,,,,,,,Krzysztofory
,,,,,,POINT (19.9362429 50.0623188),,,,,,,,,,,,,restaurant,,,,,,,,Rynek Główny,,,,,,,,,,,,,,,,,,,,Restauracja Towarzyska
,,,,,,POINT (19.936301 50.0626642),,,,,,,,,,,,,restaurant,,,,,,,,Rynek Główny,,,,,,,,,,,,,,,,,,,,Tetmajerowska;Restauracja Tetmajerowska
+48 605 821 161,,,Mo-Su 10:00-22:00,https://www.hawelka.pl/,,POINT (19.936419 50.0626523),,,,,,,,,,,,,restaurant,,,,,,,,Rynek Główny,,,,,,yes,,,,,,Kraków,,,,,,,,Hawełka;Restauracja Hawełka
,,,"Su-Th 09:00-21:00; Fr,Sa 09:00-22:00",,,POINT (19.9365524 50.0626774),,,,,,,,,,,,,restaurant,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,Europejska;Restauracja Europejska
,,,Mo-Su 08:00-01:00,https://www.magnateria-restauracja.pl,,POINT (19.936659 50.0608704),,,,,,,,,,,,,restaurant,,,,,,,,Rynek Główny,,,,,,,,,,,,,,,,,,,,Magnateria
+48 12 422 25 26,,,Mo-Su 14:00-18:00+,,,POINT (19.9353462 50.0619715),,,,,,,,,,,,,pub,,,,,,,,Rynek Główny,,,,,,,,,,,,,,,,,,,,Krawat;Klub Krawat
,,,"Mo-Su,PH 12:00-23:00",https://lagrandemamma.pl,,POINT (19.9355431 50.0612216),,,,yes,,,,,,,,,restaurant,,,,,,,,,,,,,,yes,,,,,,,,,,yes,,,,La grande mamma
,,,,,,POINT (19.9357588 50.0611223),,,,,,,,,,,,,fast_food,,,,,,,,Rynek Główny,,,,,,,american;grill,,,,,Kraków,,,,,,,,Yummie
,,,,,,POINT (19.9362112 50.0610392),,,,,,,,,,,,,restaurant,,,,,,,,Rynek Główny,,,,,,,international;mexican,,,,,Kraków,,,,yes,,,,Sioux
,,,Mo-Su 12:00-23:00,,,POINT (19.9363004 50.061008),,,,,,,,,,,,,restaurant,,,,,,,,Rynek Główny,,,,,,,pizza,,,,,Kraków,,,,,,,,Dominium Pizza
,,,"Mo-Th 09:00-22:00; Fr,Sa 09:00-23:00; Su 09:00-22:00; PH 09:00-24:00",,,POINT (19.9370307 50.0607229),,,,,,,,,,,,,restaurant,,,,,,,,Rynek Główny,,,,,,,local;international,,,,,Kraków,,,,yes,,,outside,Wentzl
,,,,,,POINT (19.9370762 50.0607037),,,,,,,,,,,,,cafe,,,,,,,,Rynek Główny,,,,,,,,,,,,Kraków,,,,,,,,Słodki Wentzl;Cafe Słodki Wentzl
,,,Mo-Su 12:00-22:00,,,POINT (19.9373789 50.0604226),,,,,,,,,,,,,fast_food,,,,,,,,Rynek Główny,,,,,,,grill,,,,,Kraków,,,,yes,,,,Grande Grill
,,,Mo-Su 12:00-20:00+,https://thespaghetti.pl,,POINT (19.9372038 50.0606131),,,,,,,,,,,,,restaurant,,,,,,,,Rynek Główny,,,,,,,italian,,,,,Kraków,,,,yes,,,outside,The Spaghetti
+48 12 424 96 00,,,Mo-Su 13:00-23:00,https://wierzynek.pl/,,POINT (19.9374073 50.0603841),,"Wierzynek is a restaurant located at the Main Square of Kraków Old Town. It occupies four floors and has a capacity of 200 guests.  There are eight separate dining rooms including the Italian Pompeii Rooms, the Tatra Room, The Clock Room, the Knights Room and the Chamber of Imagination.
Many world leaders and celebrities have visited the restaurant including Charles de Gaulle, Fidel Castro, Sophie Marceau and Kate Moss.",,,,,,,,,,,restaurant,,,,,,,,Rynek Główny,,,,,,,polish,,,,,Kraków,,,,,,,,Wierzynek
,,,Mo-Su 12:00-22:00,,,POINT (19.9374422 50.0603362),,,,,,,,,,,,,restaurant,,,,,,,,Rynek Główny,,,,,,,,,,,,Kraków,,,,,,,,Tradycyja
,,,,,,POINT (19.9375352 50.0601772),,,,,,,,,,,,,restaurant,,,,,,,,Rynek Główny,,,,,,,,,,,,Kraków,,,,,,,,Amber
,,,,http://www.louisclub.pl/,,POINT (19.9380551 50.0601605),,,,,,,,,,,,,pub,,,,,,,,Rynek Główny,,,,,,,,,yes,,,Kraków,,,,,,,,Klub U Louisa
+48 530 129 673,,,"Mo-Th 13:00-23:00; Fr,Sa 12:00-23:00; Su 12:00-22:00",https://weselerestauracja.pl,,POINT (19.9380044 50.0606312),,,,,,,,,,,,,restaurant,,,,,,,,Rynek Główny,,,,,,,local,,,,,Kraków,,,,,,,,Wesele
,,,,https://podjaszczurami.pl/,,POINT (19.9381929 50.0608516),,"Pod Jaszczurami – a student club in Kraków. One of the oldest student clubs in Poland, in operation since 1960. It is located in a building with medieval roots, Kamienica pod Jaszczurką, at Rynek Główny 8. It is known for promoting creators from the Kraków student environment and for its advocacy of jazz.  
The club hosts concerts, political debates, poetry evenings, film screenings, discos, exhibitions, and other events. In the adjacent Theater 38, theatrical performances are held. Pod Jaszczurami is an integral part of Kraków's cultural life. Since 2001, the club has been overseen by the Kraków Institute of Art.",,,,also a nightclub,,,,,,,pub,,,,,,,,Rynek Główny,,,,,,no,,,,,,Kraków,,,,,,,,Klub Pod Jaszczurami
+48 12 4216669,,,,https://szara.pl,,POINT (19.9384282 50.0611479),,,,,,,,,,,,,restaurant,,,,,,,,Rynek Główny,,,,,,,international,,,,,Kraków,,,,,,,,Szara;Restauracja Szara
+48124291155,,,Mo-Fr 10:00-00:00; Sa-Su 10:00-01:00,https://www.hardrockcafe.com/location/krakow/,,POINT (19.938773 50.0614058),,,,yes,,,,,,,Hard Rock Cafe,,restaurant,,,,,,,,Rynek Główny,,,,,krakow@hardrockcafe.pl,limited,american,,wlan,,,Kraków,,,,pedestrian_zone,,,no,Hard Rock Cafe
,,,,,,POINT (19.9390342 50.0611418),,,,,,,,,,,,,restaurant,,,,,,,,Sienna,,,,,,yes,italian,,,,,Kraków,,,,,,,,Sorrento
,,,,,,POINT (19.9396007 50.0620191),,,,,,,,,,,,,cafe,,,,,,,,,,,,,,,teahouse,,,,,,,,,,,,,Demmers Teahouse
,,,We-Su 10:00-17:30,,,POINT (19.940093 50.0618894),,,,,,,,,,,,,cafe,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cafe Magia
,,,"Mo-Sa 08:00-22:00, Su 10:00-22:00",,,POINT (19.939 50.0622375),,,,,,,,,,,,,cafe,,,,,,,,Rynek Główny,,,,,,yes,,,,,,Kraków,,,,,,,,Bankowa;Kawiarnia Bankowa
,,,Mo-Su 09:30+,https://www.thepianorouge.com.pl/,,POINT (19.9388086 50.0622651),,,,,,,,,,,,,restaurant,,,,,,,,Rynek Główny,,,,,,,,,,,,Kraków,,,,yes,,,,The Piano Rouge
,,,Mo-Su 11:00-19:00,,,POINT (19.938874 50.062249),,,,yes,,,,,,,,,cafe,,,,,,,,Rynek Główny,,,,,,yes,chocolate,,,,,Kraków,,,,yes,,,,Pijalnia czekolady E. Wedel
,,,,,,POINT (19.9387022 50.0623085),,,,,,restauracja wino sklep,,,,,,,restaurant,,,,,,,,Rynek Główny,,,,,,,,,,,,Kraków,,,,,,,,Vintage
,,,,http://www.rynek44.pl/staropolska.html,,POINT (19.9384689 50.0623792),,,,,,,,,,,,,restaurant,,,,,,,,Rynek Główny,,,,,,limited,polish,,,,,Kraków,,,,,,,,Staropolska
,,,Mo-Su 08:00-24:00,https://www.gehanowska.pl/,,POINT (19.9383535 50.0624499),,,,,,,,,,,,,restaurant,,,,,,,,Rynek Główny,,,,,,,,,,,,Kraków,,,,,,,,Pod Słońcem;Restauracja Pod Słońcem
,,,,,,POINT (19.9383733 50.0624791),,,,,,,,,,,,,cafe,,,,,,,,Rynek Główny,,,,,,,,,,,,Kraków,,,,,,,,Gehanowska;Kawiarnia Gehanowska
,,,,http://bonerowska.com/,,POINT (19.9381975 50.0624649),,,,,,,,,,,,,restaurant,,,,,,,,Rynek Główny,,,,,,,,,,,,Kraków,,,,,,,,Restauracja Bonerowska
,,,Mo-Su 09:00-24:00,,,POINT (19.9378302 50.0625781),,,,,,,,,,,,,restaurant,,,,,,,,Rynek Główny,,,,,,,,,,,,Kraków,,,,,,,,Restauracja Loża - Klub Aktora
,,,,,,POINT (19.9376145 50.0627314),,,,,,,,,,,,,restaurant,,,,,,,,Rynek Główny,,,,,,,local,,,,,Kraków,,,,,,,,Pod Krzyżykiem;Restauracja Pod Krzyżykiem
,,,,,,POINT (19.9374057 50.0627113),,,,,,,,,,,,,restaurant,,,,,,,,Rynek Główny,,,,,,,italian,,,,,Kraków,,,,,,,,Redolfi
,,,"Mo-We 07:00-04:00, Th,Fr 07:00-05:00, Sa 08:00-05:00, Su 08:00-04:00",,,POINT (19.9358577 50.0620524),,,,yes,,,,,,,McDonald's,,fast_food,,,,,,,,Szewska,,,,,,,burger,,,,,,,,,yes,,yes,no,McDonald's
,,,"Mo-Fr 12:00-24:00; Sa,Su 00:00-02:00,12:00-24:00",http://www.szewska4.pl/,,POINT (19.9352038 50.0622001),,,,,,,,,,,,,restaurant,,,,,,,,Szewska,,,,,,,,,,,,Kraków,,,,,,,,Szewska 4 Resto Bar
+48 790 770 648,,,,http://banialuka.com/,,POINT (19.9348721 50.0626424),,,,,,,,,,,,,bar,,,,,,,,Szewska,,,,,,,,,,,,Kraków,,,,,,,,BaniaLuka
,,,"PH,Mo-Su 09:00-21:00",https://www.nakielny.pl,,POINT (19.9338487 50.0630662),,,,,,,,,,,,,cafe,,,,,,,,Szewska,,,,,,,,,,,,,,,,,,,,Nakielny
,,,,,,POINT (19.9342412 50.0629019),,,,,,,,,,,,,pub,,,,,,,,Szewska,,,,,,no,,,,,,,,,,,,,,Klub Kulturalny
,,,24/7,,,POINT (19.9340609 50.0628083),,,,,,,,,,,Pijalnia Wódki i Piwa,,bar,,,,,,+48731151555,,,,,,,,,local,,,,,,,,,,,,,Pijalnia Wódki i Piwa
,,,,https://www.facebook.com/milkbaranny5/,,POINT (19.9345603 50.0617389),,,,,,,,,,,,,restaurant,,,,,,,,Świętej Anny,,,,,,,regional,,wlan,,,,,,,yes,,,,Milk Bar
,,,Mo-Su 12:00-23:00,https://chimera.com.pl/en,,POINT (19.9348391 50.0617473),,,,,,,,,,,,,restaurant,,,,,,,,,,,,,,,local;regional;polish,,,,,,,,,,,,,Chimera
,,,,,,POINT (19.9368173 50.0630588),,,,,,,,,,,,,pub,,,,,,,,Sławkowska,,,,,,,,,,,,Kraków,,,,,,,,"Pool Bar ""U Kacpra"""
,,,,,,POINT (19.9369505 50.0631698),,,,,,,,,,,,,cafe,,,,,,,,Sławkowska,,,,,,,,,,,,Kraków,,,,,,,,Darts Cafe Bar
,,,,,,POINT (19.9371761 50.0635073),,,,,,,,,,,,,cafe,,,,,,,,,,,,,,,,,,,,,,,,,,,,Naber
,,,,,,POINT (19.9373271 50.0636989),,,,,,,,,,,,,restaurant,,,,,,,,Świętego Tomasza,,,,,,,,,,,,Kraków,,,,,,,,Figa z Makiem
,,,Mo-Fr 19:00-05:30,https://www.facebook.com/Jazz-Rock-Cafe-184407584923227/,,POINT (19.9374851 50.0638406),,,,,,,,,,,,,cafe,,,,,,,,Świętego Tomasza,,,,,,,,,,,,Kraków,,,,,,,,Jazz Rock Cafe
,,,"Mo 00:00-03:00; Tu 17:00-24:00; We-Su 00:00-03:00,17:00-24:00",https://pl-pl.facebook.com/ChicagoJazzCracow,,POINT (19.9379004 50.0639605),,,,,,,,,,,,,pub,,,,,,,,Sławkowska,,,,,,no,,,,,,Kraków,,,,no,,,no,Chicago live Music
,,,Mo-Su 10:00-21:00,https://www.facebook.com/IceStationPL/,,POINT (19.9379537 50.0640163),,,,,,,,,,,,,ice_cream,,,,,,,,Sławkowska,,,,,,,,,,,,Kraków,,,,,,,,Ice Station
,,,Mo-Su 10:00-22:00,https://www.domoweprzysmaki.pl/,,POINT (19.938147 50.0647186),,,,,,,,,,,,,restaurant,,,,,,,,,,,,,,,pancake;polish,,,,,,,,,yes,,,,Domowe Przysmaki
+48 (12) 411 72 88,,,Mo-Su 12:00-23:00,https://cyranodebergerac.com.pl/,,POINT (19.9383529 50.064982),,,,,,,,,,,,,restaurant,,,,,,,,Sławkowska,,,,,,,regional;french,,,,,,,,,no,,,,Cyrano de Bergerac
,,,,https://www.facebook.com/beerhousekrakow,,POINT (19.9408844 50.0640087),,,,,,,,,,,,,pub,,,,,,,,Floriańska,,,,,,,,,,,,Kraków,,,,yes,,,,Beer House
,,,,,,POINT (19.9411617 50.0642048),,,,,,,,,,,,,pub,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dotyk
,,,Mo-Su 07:00-21:00,,,POINT (19.941392 50.0647202),,,,,,,,,,,Costa,,cafe,,,,,,,,,,,,,,no,coffee_shop,,,,,,,,,,,yes,,Costa
,,,"Su-We 08:00-02:00, Th 08:00-03:00, Fr,Sa 08:00-05:00",,,POINT (19.9413549 50.0646564),,,,yes,,,,,,,McDonald's,,fast_food,,,,,,,,Floriańska,,,,,,limited,burger,,wlan,,,,,,,,,yes,no,McDonald's
,,,,,,POINT (19.9408941 50.0644353),,,,,,,,,,,,,restaurant,,,,,,,,,,,,,,,pizza,,,,,,,,,,,,,Vesuvio
,,,Mo-Su 12:00-19:00+,,,POINT (19.9407252 50.0638149),,,,,,,,,,,,,fast_food,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zapiekanki Krakowskie
,,,,https://restauracja-pipa.pl/,,POINT (19.9405584 50.0640085),,,,,,,,,,,,,restaurant,,,,,,,,Floriańska,,,,,,,,,,,,Kraków,,,,,,,,Piwnica Pod Złotą Pipą
,,,"Mo-Su 12:00-22:00; Fr,Sa 12:00-23:00",https://www.facebook.com/TrattoriaDegusti/,,POINT (19.9403963 50.0637317),,,,,,,,,,,,,restaurant,,,,,,,,,,,,,,,italian,,,,,,,,,,,,,Tarttoria Degusti
,,,"Su-Th 09:00-02:00, Fr,Sa 09:00-05:00",,,POINT (19.9404909 50.0635258),,,,,,,,,,,KFC,Kentucky Fried Chicken,fast_food,,,,,,,,,,,,,,,chicken,,,,,,,,,no,,yes,,KFC;Kentucky Fried Chicken
,,,,,,POINT (19.9404583 50.0633555),,,,,,,,,,,,,cafe,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cosmopolitan
,,,,,,POINT (19.940227 50.0635389),,,,,,,,,,,,,fast_food,,,,,,,,,,,,,,,kebab,,,,,,,,,,,,,Kebab Królewski
,,,,,,POINT (19.9400655 50.063329),,,,,,,,,,,,,cafe,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zarowka Café Zapieck
,,,"Mo-Fr 10:00-20:00; Sa,Su 10:00-20:00+",,,POINT (19.9402457 50.0630658),,,,,,,,,,,,,restaurant,,,,,,,,Floriańska,,,,,,,,,,,,Kraków,,,,,,,,Taste POLAND
,,,,,,POINT (19.9394993 50.0625977),,,,,,,,,,,,,fast_food,,,,,,,,,,,,,,,kebab,,,,,,,,,,,,,Butcher grill
,,,Mo-Su 16:00+,,,POINT (19.9381057 50.0626973),,,,,,,,,,,,,pub,,,,,,,,Rynek Główny,,,,,,,,,,,,Kraków,,,,,,,,Feniks Dancing Bar
,,,,,,POINT (19.938822 50.0636809),,,,,,,,,,,,,restaurant,,,,,,,,,,,,,,,,,,,,,,,,,,,,Baroque Wódka & Food
,,,Mo-Su 12:00-02:00,,,POINT (19.9389294 50.0638151),,,,,,,,,,,,,pub,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Irish Pub ""Pod Papugami"""
,,,Mo-Su 07:00-22:00,,,POINT (19.9395644 50.0647396),,,,,,,,,,,,,cafe,,,,,,,,,,,,,,,,,,,,,,,,,,,,Petit Delice
,,,Mo-Su 12:00-23:00,https://www.farina.com.pl/,,POINT (19.939377 50.0640516),,,,,,,,,,,,,restaurant,,,,,,,,,,,,,,no,,,,,,,,,,,,,,Farina
,,,Mo-Su 14:00-22:00,,,POINT (19.9392162 50.0649554),,,,,,,,,,,,,bar,,,,,,,,,,,,,,,regional,,,,,,,,,,,,,Eau de Vie Bar
+48 793 513 515,,,,,,POINT (20.0256446 50.0396615),,,,,,,,,,,,,restaurant,,,,,,,,,,,,,,,asian;chinese;vietnamese,,,,,,,,,,,,,Bar Orientalny Son Anh
+48 663 905 652,,,,http://www.cafeszafe.com,,POINT (19.9296862 50.0577061),,,,,,,,,,,,,pub,,,,,,,,,,,,,mail@cafeszafe.com,,,,,,,,,,,,,,,Cafe Szafe
,,,Mo-Su 10:00-21:30,,,POINT (20.0378777 50.0746969),,"Restaurant ""Stylowa"" – the oldest restaurant in Nowa Huta, operating since 1956 in a location on os. Centrum C 3, in Aleja Róż, initially as a café. It is referred to as ""iconic.""  
The buildings of the C-31 estate (currently Centrum C) were constructed between 1953 and 1955, and the main designer of building no. 3, where the restaurant is located, was Adam Fołtyn. The café ""Stylowa"" opened on July 22, 1956, and was, alongside the now non-existent restaurant ""Arkadia,"" the most elegant establishment in Nowa Huta. The decor, typical of public interiors from the era of socialist realism, is characterized by a high level of decoration, featuring sculpted walls, marble floors, chandeliers, and characteristic columns; the café also had individually designed furniture.  
In 1957, the café was under the jurisdiction of the Nowa Huta Gastronomic Enterprises. The guide ""Huta im. Lenina and Nowa Huta"" from that year describes it as a first-category establishment, with a full range of café dishes, exquisite cuisine, and dancing. It was there that the residents of Nowa Huta were taught to enjoy coffee. Guests were welcomed at the door by a porter, and strong alcohol was not served, only Bulgarian wines and brandies. There was a piano inside, which was played in the afternoons. In the 1950s, ""Stylowa"" was frequented by the New Huta elite: engineers, doctors, teachers. Later, the venue gained a reputation as a restaurant for currency speculators.  
From 1973 to 1989, in close proximity to ""Stylowa,"" stood a statue of Vladimir Lenin designed by Marian Konieczny, facing the Central Square. Locals would say that Lenin from Aleja Róż had come out of ""Stylowa"" and was going to ""Arkadia,"" a restaurant located across the square on al. Róż, on os. Centrum B 1 (currently the location of BPH bank). It also happened that currency speculators residing in ""Stylowa"" would jokingly order ""pork chop for Lenin"" and send someone from the staff, for an additional fee, to bring the cutlet to the statue. On the night of April 17-18, 1979, an explosive device was placed under the statue, and as a result of the explosion, only the heel of Lenin's figure was damaged – since that incident, the restaurant has been jokingly called ""The Bar Under the Stub."" The restaurant is also associated with a sports scandal. Early in his football career at Wisła Kraków and the national team, Andrzej Iwan ended up in jail for assaulting one of the waitresses at ""Stylowa"" and was punished with a one-year ban.  
After the political changes, the establishment was taken over by some of the workers. After renovation, it was reopened in October 2003, with guests including Krystyna Zachwatowicz at the ceremony. Currently, ""Stylowa,"" due to its preserved ""People's Poland color,"" is a frequent stop for foreign tourists visiting Nowa Huta, who are interested in the times of communism.",,,,,,,,,,,restaurant,,,,,,,,,,,,,,,polish,,,,,Kraków,,,,pedestrian_zone,,,no,Stylowa
,,,,,,POINT (19.9317775 50.062445),,,,,,,,,,,,,fast_food,,,,,,,,,,,,,,,pizza,,,,,,,,,,,,,Pizzeria Prima
+48 12 430 08 38,,,Mo-Su 11:00-23:00,http://dynia.krakow.pl,,POINT (19.9290713 50.0634157),,,,,,,,,,,,,restaurant,,,,,,,,Krupnicza,,,,,,no,italian,,,,,,,,,yes,,,,Dynia Resto Bar
,,,,,,POINT (19.9263137 50.0597683),,,,,,,,,,,,,pub,,,,,,,,Marszałka Józefa Piłsudskiego,,,,,,,,,,,,Kraków,,,,,,,,Garage Pub
,,,,,,POINT (19.9277589 50.0615952),,,,,,,,,,,,,restaurant,,,,,,,,Plac Generała Władysława Sikorskiego,,,,,,,regional,,,,,,,,,,,,,Pod Kopytkiem
,,,Fr-Su 10:00-24:00; Mo-Th 10:00-23:00,,,POINT (19.9297141 50.0549267),,,,,,,,,,,,,pub,,,,,,,,,,,,,,,,,,,,,,,,,,,,Victoria
+48 505 102 644,,,"Mo-Fr 13:00-22:00, Sa-Su 12:00-22:00",https://www.aquariuskrakow.pl/,,POINT (19.9289332 50.0547655),,,,,,,,,,,,,restaurant,,,,,,,,Bulwar Czerwieński,,,,,info@aquariuskrakow.pl,,international,,,,,Kraków,,,,yes,,,,Aquarius - restaurant & cocktail bar
,,,,,,POINT (19.9987985 50.0735082),,,,,,,,,,,,,fast_food,,,,,,,,,,,,,,limited,,,,,,,,,,,,,,"zapiekanki, hot dogi"
+48 517 613 213,,,,https://alchemia.com.pl/,,POINT (19.9449342 50.0521471),,,,,,,,,,,,,pub,,,,,,,,Estery,,,,,,,,,,,,Kraków,,,,,,,,Alchemia
,,,Tu-Fr 13:00-23:00; Sa 12:00-23:00; Su 12:00-22:00,http://klimatypoludnia.eu/,,POINT (19.9417119 50.0582571),,,,,,,,,,,,,restaurant,,,,,,,,,,,,,,,,,,,,,,,,,,,,Klimaty Poludnia
,,,,,,POINT (19.9410968 50.0582242),,,,,,,,,,,,,restaurant,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mid Town
,,,,,,POINT (19.9227287 50.0666506),,,,,,,,,,,,,restaurant,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Pizzeria ""Góra Olimp"""
+48 12 429 37 54,,,10:00-02:00,,,POINT (19.9448173 50.0517752),,,,,,,,,,,,,fast_food,,,,,,,,Plac Nowy,,,,,,,,,,,,,,,,no,,only,,Mini Bar Endzior
,,,Mo-Su 11:30-22:00,https://banolli.pl/,,POINT (20.0418943 50.0737306),,,,,,,,,,,,,restaurant,,,,,,,,,,,,,,,pizza,,,,,Kraków,,,,yes,,,,Pizzeria Banolli
,,,Mo-Fr 08:00-18:00,,,POINT (20.0374211 50.0733436),,,,,,,,,,,,,fast_food,,,,,,,,,,,,,,yes,regional,,,,,,,,,no,,yes,no,Bar Mleczny Centralny
+48 535 444 331,,,"Su-Th 12:00-23:00, Fr,Sa 12:00-24:00",https://max-grill.pl/,,POINT (20.0344589 50.071435),,,,,,,,,,,,,fast_food,,,,,,,,Aleja Jana Pawła II,,,,,,yes,sausage,,,,,Kraków,,,,yes,,,,Max Grill
+48 730 333 019,,,Mo-Su 12:00-20:00,https://www.zafurtka.pl/,,POINT (20.0120853 50.0072473),,,,,,,,,,,,,restaurant,,,,,,,,Rafała Czerwiakowskiego,,,,,achmolo@poczta.onet.pl,,pizza;polish,,,,,Kraków,,,,,,,,Za furtką
,,,,,,POINT (19.9343604 50.0533656),,,,,,,,,,,,,restaurant,,,,,,,,,,,,,,,,,,,,,,,,,,,,Na Wawelu
+48 885 131 131,,,,https://www.trattoriawawel.pl/,,POINT (19.9350482 50.0530557),,,,,,,,,,,,,cafe,,,,,,,,,,,,,biuro@trattoriawawel.pl,,,,,,,,,,,,,,,Trattoria Wawel
,,,,,,POINT (19.9361034 50.0539254),,,,,,,,,,,,,cafe,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pod Białym Murem
,,,,,,POINT (19.9483656 50.052625),,,,,,,,,,,,,restaurant,,,,,,,,,,,,,,,,,,,,,,,,,,,,Szeroka12
